Job Date,Waste Desc,Bin Qty,Tonnage
11/01/2019,General Waste,8,0.646
12/01/2019,Dry Mixed Recyclate,3,0.097
12/01/2019,General Waste,8,0.889
14/01/2019,Dry Mixed Recyclate,3,0.06
14/01/2019,General Waste,8,0.754
14/01/2019,Kitchen/Canteen Wast,4,0.22
14/01/2019,Glass,1,0.01
15/01/2019,Dry Mixed Recyclate,3,0.1
15/01/2019,General Waste,8,0.8
16/01/2019,Dry Mixed Recyclate,3,0.115
16/01/2019,General Waste,8,0.567
17/01/2019,Dry Mixed Recyclate,3,0.101
17/01/2019,General Waste,8,0.633
18/01/2019,Dry Mixed Recyclate,3,0.075
18/01/2019,General Waste,8,0.72
19/01/2019,Dry Mixed Recyclate,3,0.103
19/01/2019,General Waste,8,0.625
21/01/2019,Dry Mixed Recyclate,3,0.033
21/01/2019,General Waste,8,0.964
21/01/2019,Kitchen/Canteen Wast,4,0.3
21/01/2019,Glass,1,0.01
22/01/2019,Dry Mixed Recyclate,3,0.11
22/01/2019,General Waste,8,0.67
23/01/2019,Dry Mixed Recyclate,3,0.107
23/01/2019,General Waste,8,0.709
24/01/2019,Dry Mixed Recyclate,3,0.179
24/01/2019,General Waste,8,0.651
25/01/2019,Dry Mixed Recyclate,3,0.06
25/01/2019,General Waste,8,0.15
26/01/2019,Dry Mixed Recyclate,3,0.1
26/01/2019,General Waste,8,0.447
28/01/2019,Dry Mixed Recyclate,3,0.114
28/01/2019,General Waste,8,0.678
28/01/2019,Kitchen/Canteen Wast,4,0.07
28/01/2019,Glass,1,0.01
29/01/2019,Dry Mixed Recyclate,3,0.153
29/01/2019,General Waste,8,0.663
30/01/2019,Dry Mixed Recyclate,3,0
30/01/2019,General Waste,8,0
31/01/2019,Dry Mixed Recyclate,3,0.112
31/01/2019,General Waste,8,0.61
01/02/2019,Dry Mixed Recyclate,3,0.21
01/02/2019,General Waste,8,0.68
02/02/2019,Dry Mixed Recyclate,3,0.594
02/02/2019,General Waste,8,0.718
04/02/2019,Dry Mixed Recyclate,3,0.127
04/02/2019,General Waste,8,0.847
04/02/2019,Kitchen/Canteen Wast,4,0.43
04/02/2019,Glass,1,0.01
05/02/2019,Dry Mixed Recyclate,3,0.22
05/02/2019,General Waste,8,0.64
06/02/2019,Dry Mixed Recyclate,3,0.025
06/02/2019,General Waste,8,0.458
07/02/2019,Dry Mixed Recyclate,3,0.095
07/02/2019,General Waste,8,0.651
08/02/2019,Dry Mixed Recyclate,3,0.22
08/02/2019,General Waste,8,0.33
09/02/2019,Dry Mixed Recyclate,3,0.1
09/02/2019,General Waste,8,0.615
11/02/2019,Dry Mixed Recyclate,3,0.107
11/02/2019,General Waste,8,1.085
11/02/2019,Kitchen/Canteen Wast,4,0.26
11/02/2019,Glass,1,0.015
12/02/2019,Dry Mixed Recyclate,3,0.13
12/02/2019,General Waste,8,0.597
13/02/2019,Dry Mixed Recyclate,3,0.146
13/02/2019,General Waste,8,0.503
14/02/2019,Dry Mixed Recyclate,3,0.134
14/02/2019,General Waste,8,0.725
15/02/2019,Dry Mixed Recyclate,3,0.12
15/02/2019,General Waste,8,0.8
16/02/2019,Dry Mixed Recyclate,3,0.166
16/02/2019,General Waste,8,0.784
18/02/2019,Dry Mixed Recyclate,3,0.106
18/02/2019,General Waste,8,0.971
18/02/2019,Kitchen/Canteen Wast,4,0.27
18/02/2019,Glass,1,0
19/02/2019,Dry Mixed Recyclate,3,0.08
19/02/2019,General Waste,8,0.21
20/02/2019,Dry Mixed Recyclate,3,0.042
20/02/2019,General Waste,8,0.633
21/02/2019,Dry Mixed Recyclate,3,0.119
21/02/2019,General Waste,8,0.746
22/02/2019,Dry Mixed Recyclate,3,0.25
22/02/2019,General Waste,8,0.5
23/02/2019,Dry Mixed Recyclate,3,0.106
23/02/2019,General Waste,8,0.371
25/02/2019,Dry Mixed Recyclate,3,0.077
25/02/2019,General Waste,8,0.866
25/02/2019,Kitchen/Canteen Wast,4,0.12
25/02/2019,Glass,1,0.01
26/02/2019,Dry Mixed Recyclate,3,0.204
26/02/2019,General Waste,8,0.709
27/02/2019,Dry Mixed Recyclate,3,0.093
27/02/2019,General Waste,8,0.555
28/02/2019,Dry Mixed Recyclate,3,0.106
28/02/2019,General Waste,8,0.689
