Job Date,Waste Desc,Bin Qty,Tonnage
22/07/2019,General Waste,8,1.002
22/07/2019,General Waste,3,0.07
22/07/2019,Kitchen/Canteen Wast,4,0.143
22/07/2019,Glass,1,0.01
23/07/2019,Dry Mixed Recyclate,3,0.2
23/07/2019,General Waste,8,0.42
23/07/2019,General Waste,3,0.12
24/07/2019,Dry Mixed Recyclate,3,0.197
24/07/2019,General Waste,3,0.232
24/07/2019,General Waste,8,0.641
25/07/2019,Dry Mixed Recyclate,3,0.218
25/07/2019,General Waste,3,0.213
25/07/2019,General Waste,8,0.533
26/07/2019,Dry Mixed Recyclate,3,0.076
26/07/2019,General Waste,8,0.536
26/07/2019,General Waste,3,0.05
27/07/2019,Dry Mixed Recyclate,3,0.119
27/07/2019,General Waste,3,0.428
27/07/2019,General Waste,8,0.506
29/07/2019,Dry Mixed Recyclate,3,0.112
29/07/2019,General Waste,8,0.93
29/07/2019,General Waste,3,0.015
29/07/2019,Kitchen/Canteen Wast,4,0.3
29/07/2019,Glass,1,0.01
30/07/2019,Dry Mixed Recyclate,3,0.12
30/07/2019,General Waste,3,0.24
30/07/2019,General Waste,8,0.64
31/07/2019,Dry Mixed Recyclate,3,0.045
31/07/2019,General Waste,3,0.038
31/07/2019,General Waste,8,0.606
01/08/2019,Dry Mixed Recyclate,3,0.067
01/08/2019,General Waste,8,0.613
01/08/2019,General Waste,3,0.224
02/08/2019,Dry Mixed Recyclate,3,0.045
02/08/2019,General Waste,8,0.598
02/08/2019,General Waste,3,0.062
03/08/2019,Dry Mixed Recyclate,3,0.075
03/08/2019,General Waste,3,0.089
03/08/2019,General Waste,8,0.949
05/08/2019,Dry Mixed Recyclate,3,0.019
05/08/2019,General Waste,8,0.944
05/08/2019,General Waste,3,0.096
05/08/2019,Kitchen/Canteen Wast,4,0.32
06/08/2019,Glass,1,0.01
06/08/2019,Dry Mixed Recyclate,3,0.18
06/08/2019,General Waste,8,0.48
06/08/2019,General Waste,3,0.18
07/08/2019,Dry Mixed Recyclate,3,0.034
07/08/2019,General Waste,3,0.032
07/08/2019,General Waste,8,0.591
08/08/2019,Dry Mixed Recyclate,3,0.04
08/08/2019,General Waste,3,0.045
08/08/2019,General Waste,8,0.536
09/08/2019,Dry Mixed Recyclate,3,0.021
09/08/2019,General Waste,8,0.59
09/08/2019,General Waste,3,0.05
10/08/2019,Dry Mixed Recyclate,3,0.003
10/08/2019,General Waste,3,0.003
10/08/2019,General Waste,8,0.63
12/08/2019,Dry Mixed Recyclate,3,0.155
12/08/2019,General Waste,3,0.12
12/08/2019,General Waste,8,0.692
12/08/2019,Kitchen/Canteen Wast,4,0.114
12/08/2019,Glass,1,0
13/08/2019,Dry Mixed Recyclate,3,0.156
13/08/2019,General Waste,3,0.208
13/08/2019,General Waste,8,0.528
14/08/2019,Dry Mixed Recyclate,3,0.012
14/08/2019,General Waste,8,0.604
14/08/2019,General Waste,3,0.078
15/08/2019,Dry Mixed Recyclate,3,0.059
15/08/2019,General Waste,8,0.619
15/08/2019,General Waste,3,0.139
16/08/2019,Dry Mixed Recyclate,3,0.152
16/08/2019,General Waste,8,0.487
16/08/2019,General Waste,3,0.362
17/08/2019,Dry Mixed Recyclate,3,0.139
17/08/2019,General Waste,3,0.315
17/08/2019,General Waste,8,0.837
19/08/2019,Dry Mixed Recyclate,3,0.114
19/08/2019,General Waste,3,0.02
19/08/2019,General Waste,8,0.998
19/08/2019,Kitchen/Canteen Wast,4,0.09
19/08/2019,Glass,1,0.02
20/08/2019,Dry Mixed Recyclate,3,0.06
20/08/2019,General Waste,8,0.48
20/08/2019,General Waste,3,0.18
21/08/2019,Dry Mixed Recyclate,3,0.099
21/08/2019,General Waste,8,0.64
21/08/2019,General Waste,3,0.038
22/08/2019,Dry Mixed Recyclate,3,0.029
22/08/2019,General Waste,3,0.055
22/08/2019,General Waste,8,0.611
23/08/2019,Dry Mixed Recyclate,3,0.182
23/08/2019,General Waste,8,0.586
23/08/2019,General Waste,3,0.37
24/08/2019,Dry Mixed Recyclate,3,0.205
24/08/2019,General Waste,8,0.617
24/08/2019,General Waste,3,0.292
26/08/2019,Dry Mixed Recyclate,3,0.051
26/08/2019,General Waste,3,0.111
26/08/2019,General Waste,8,0.875
26/08/2019,Kitchen/Canteen Wast,4,0.08
26/08/2019,Glass,1,0.04
27/08/2019,Dry Mixed Recyclate,3,0.25
27/08/2019,General Waste,3,0.245
27/08/2019,General Waste,8,0.25
28/08/2019,Dry Mixed Recyclate,3,0.036
28/08/2019,General Waste,8,0.613
28/08/2019,General Waste,3,0.045
29/08/2019,Dry Mixed Recyclate,3,0.142
29/08/2019,General Waste,8,0.811
29/08/2019,General Waste,3,0.086
30/08/2019,Dry Mixed Recyclate,3,0.04
30/08/2019,General Waste,8,0.65
30/08/2019,General Waste,3,0.2
31/08/2019,Dry Mixed Recyclate,3,0.144
31/08/2019,General Waste,3,0.271
31/08/2019,General Waste,8,0.612
